,time,open,high,low,close,tick_volume,spread,real_volume
0,1671408000,1.05812,1.05996,1.05812,1.05991,6113,1,0
1,1671418800,1.05993,1.06129,1.05962,1.06083,8098,0,0
2,1671429600,1.06084,1.06343,1.06012,1.06292,6505,0,0
3,1671440400,1.06292,1.0658,1.06163,1.06177,18489,0,0
4,1671451200,1.06181,1.06352,1.06032,1.06063,18336,0,0
5,1671462000,1.06062,1.06157,1.05756,1.05797,22666,0,0
6,1671472800,1.05798,1.06311,1.05797,1.06141,17991,0,0
7,1671483600,1.0614,1.06145,1.06006,1.06064,10932,0,0
8,1671494400,1.06031,1.06129,1.05979,1.05999,4978,1,0
9,1671505200,1.05999,1.06515,1.05974,1.06079,20374,0,0
10,1671516000,1.0608,1.06156,1.05788,1.05938,17898,0,0
11,1671526800,1.05937,1.06381,1.05918,1.06372,32086,0,0
12,1671537600,1.06368,1.06461,1.06103,1.06136,19078,0,0
13,1671548400,1.06135,1.06587,1.05939,1.06401,30375,0,0
14,1671559200,1.06401,1.06421,1.06058,1.06061,19743,0,0
15,1671570000,1.06061,1.06293,1.05994,1.06218,10369,0,0
16,1671580800,1.06232,1.06279,1.06174,1.06204,4744,1,0
17,1671591600,1.06205,1.06258,1.06127,1.06165,7917,1,0
18,1671602400,1.06165,1.06178,1.06067,1.06137,5700,0,0
19,1671613200,1.0614,1.06375,1.06107,1.06144,17686,0,0
20,1671624000,1.06144,1.06317,1.06045,1.06305,15596,0,0
21,1671634800,1.06303,1.06451,1.05959,1.06154,25314,0,0
22,1671645600,1.06157,1.0616,1.05904,1.06095,16418,0,0
23,1671656400,1.06097,1.06202,1.0603,1.0604,9767,0,0
24,1671667200,1.0602800000000001,1.06185,1.0602800000000001,1.06179,3302,1,0
25,1671678000,1.06181,1.06443,1.06133,1.06433,8180,1,0
26,1671688800,1.06435,1.06495,1.06352,1.06444,5839,0,0
27,1671699600,1.06445,1.06595,1.06261,1.06464,15881,0,0
28,1671710400,1.06464,1.06564,1.06137,1.06366,15039,0,0
29,1671721200,1.06369,1.06376,1.05859,1.06017,30664,0,0
30,1671732000,1.06014,1.06061,1.0576699999999999,1.05795,12738,0,0
31,1671742800,1.05795,1.06033,1.05733,1.05971,12464,0,0
32,1671753600,1.05948,1.06041,1.05887,1.0588899999999999,3659,1,0
33,1671764400,1.05891,1.06124,1.05865,1.06074,8861,0,0
34,1671775200,1.06077,1.06113,1.06018,1.06066,5211,0,0
35,1671786000,1.06068,1.06308,1.05962,1.06098,13522,0,0
