,time,open,high,low,close,tick_volume,spread,real_volume
0,1671408000,1.21376,1.21802,1.21376,1.21791,6932,8,0
1,1671418800,1.21787,1.2202,1.21761,1.21815,8417,6,0
2,1671429600,1.21817,1.2187999999999999,1.21672,1.21856,7318,4,0
3,1671440400,1.21855,1.22421,1.21723,1.22121,20363,1,0
4,1671451200,1.22119,1.2224,1.21645,1.21784,23857,1,0
5,1671462000,1.2178200000000001,1.21886,1.21203,1.21304,24597,1,0
6,1671472800,1.21304,1.2193100000000001,1.21296,1.21589,14148,3,0
7,1671483600,1.21593,1.21594,1.21387,1.21458,7370,4,0
8,1671494400,1.2147999999999999,1.21553,1.21381,1.21436,5448,8,0
9,1671505200,1.21436,1.22232,1.2133099999999999,1.2139199999999999,19563,6,0
10,1671516000,1.2139199999999999,1.21469,1.20852,1.21405,17746,1,0
11,1671526800,1.21401,1.21975,1.21339,1.21499,29886,1,0
12,1671537600,1.21496,1.21822,1.21304,1.21309,18602,1,0
13,1671548400,1.21309,1.2168,1.2098,1.21395,28021,1,0
14,1671559200,1.21391,1.2158,1.21238,1.21456,16500,1,0
15,1671570000,1.21458,1.21872,1.2138200000000001,1.21825,8419,3,0
16,1671580800,1.21794,1.21923,1.21601,1.21826,6577,8,0
17,1671591600,1.21826,1.2189,1.21606,1.21689,9405,8,0
18,1671602400,1.21689,1.2172,1.21549,1.21574,5363,1,0
19,1671613200,1.21576,1.21828,1.21276,1.2138200000000001,16270,1,0
20,1671624000,1.2138,1.21458,1.20857,1.21296,15148,1,0
21,1671634800,1.2129699999999999,1.2164,1.20882,1.21087,23254,1,0
22,1671645600,1.21089,1.21125,1.20551,1.20776,14864,1,0
23,1671656400,1.20778,1.2097,1.20758,1.20828,7462,4,0
24,1671667200,1.20786,1.21031,1.207,1.21024,5397,5,0
25,1671678000,1.21024,1.21345,1.20941,1.21334,7336,6,0
26,1671688800,1.21334,1.21339,1.21158,1.21193,7035,5,0
27,1671699600,1.21186,1.21473,1.20873,1.20994,14268,1,0
28,1671710400,1.20994,1.21088,1.20377,1.20572,15642,1,0
29,1671721200,1.20576,1.20625,1.19924,1.20273,26969,1,0
30,1671732000,1.20272,1.20439,1.20007,1.20113,10267,2,0
31,1671742800,1.20114,1.20473,1.20085,1.20378,9886,4,0
32,1671753600,1.20365,1.20458,1.20018,1.20201,6311,8,0
33,1671764400,1.20202,1.20524,1.20185,1.20497,9319,6,0
34,1671775200,1.20497,1.20578,1.20289,1.20391,6407,1,0
35,1671786000,1.20384,1.20747,1.20342,1.20661,13098,1,0
36,1671796800,1.20661,1.20902,1.20493,1.20686,10509,1,0
