,time,open,high,low,close,tick_volume,spread,real_volume
0,1671408000,135.816,136.597,135.808,136.086,8991,2,0
1,1671418800,136.087,136.35,135.767,136.261,11640,2,0
2,1671429600,136.255,136.26,135.941,136.071,7542,0,0
3,1671440400,136.071,136.163,135.749,136.121,22619,0,0
4,1671451200,136.122,136.56,135.981,136.374,20355,0,0
5,1671462000,136.374,137.011,136.349,136.974,20832,0,0
6,1671472800,136.973,137.162,136.717,136.858,14474,0,0
7,1671483600,136.858,137.051,136.852,136.906,9311,2,0
8,1671494400,136.894,137.358,136.675,137.325,7271,2,0
9,1671505200,137.333,137.472,133.105,133.449,20327,0,0
10,1671516000,133.452,133.697,132.667,133.356,26539,0,0
11,1671526800,133.359,133.373,131.993,132.054,34880,0,0
12,1671537600,132.055,132.904,132.055,132.697,19683,0,0
13,1671548400,132.696,132.896,131.36,131.375,27966,0,0
14,1671559200,131.376,131.553,130.567,131.488,26306,0,0
15,1671570000,131.487,131.829,131.42,131.706,12988,1,0
16,1671580800,131.541,131.999,131.4,131.569,8728,2,0
17,1671591600,131.569,132.314,131.51,132.063,14459,2,0
18,1671602400,132.068,132.372,132.04,132.185,8052,0,0
19,1671613200,132.182,132.214,131.544,131.668,20591,0,0
20,1671624000,131.662,132.042,131.566,131.857,15048,0,0
21,1671634800,131.85,132.528,131.734,131.977,24655,0,0
22,1671645600,131.974,132.506,131.913,132.241,13413,0,0
23,1671656400,132.238,132.461,132.084,132.429,8225,1,0
24,1671667200,132.411,132.464,132.041,132.056,9911,1,0
25,1671678000,132.057,132.136,131.64,131.752,11983,2,0
26,1671688800,131.751,131.958,131.701,131.875,5970,0,0
27,1671699600,131.868,132.106,131.812,131.987,12891,0,0
28,1671710400,131.988,132.193,131.96,132.09,8723,0,0
29,1671721200,132.089,132.724,131.903,132.265,24322,0,0
30,1671732000,132.265,132.496,132.178,132.419,7432,0,0
31,1671742800,132.42,132.507,132.259,132.33,6780,1,0
32,1671753600,132.471,132.727,132.146,132.586,10351,2,0
33,1671764400,132.587,132.811,132.521,132.663,10908,2,0
34,1671775200,132.665,132.76,132.58,132.672,6469,0,0
35,1671786000,132.671,132.755,132.439,132.594,11289,0,0
36,1671796800,132.594,132.784,132.581,132.692,6462,0,0
37,1671807600,132.69,133.136,132.521,132.842,28261,0,0
38,1671818400,132.841,132.941,132.727,132.86,9197,0,0
39,1671829200,132.858,132.923,132.728,132.789,4879,16,0
40,1672045200,132.663,133.091,132.473,133.002,1741,21,0
41,1672056000,133.002,133.225,132.736,133.056,857,16,0
42,1672066800,133.055,133.07,132.897,132.914,1078,16,0
43,1672077600,132.919,132.928,132.87,132.902,754,20,0
44,1672088400,132.896,132.928,132.825,132.89,732,9,0
45,1672099200,132.89,133.188,132.632,133.011,6164,1,0
46,1672110000,133.014,133.141,132.782,132.909,7189,1,0
47,1672120800,132.912,132.987,132.737,132.793,4460,0,0
48,1672131600,132.78,133.222,132.78,133.175,8982,0,0
49,1672142400,133.175,133.376,133.135,133.273,4983,0,0
50,1672153200,133.272,133.596,133.179,133.34,13813,0,0
51,1672164000,133.343,133.552,133.288,133.396,6587,0,0
52,1672174800,133.396,133.568,133.331,133.475,3560,2,0
53,1672185600,133.452,133.943,133.21,133.7,5664,2,0
54,1672196400,133.699,134.404,133.659,134.244,10358,1,0
55,1672207200,134.238,134.275,133.801,134.043,7663,0,0
56,1672218000,134.046,134.209,133.8,134.034,11793,0,0
57,1672228800,134.032,134.067,133.398,133.521,9973,0,0
58,1672239600,133.525,134.281,133.491,134.229,18033,0,0
59,1672250400,134.227,134.302,134.064,134.245,10156,0,0
60,1672261200,134.245,134.5,134.244,134.476,3742,0,0
61,1672272000,134.428,134.428,133.905,133.985,9638,2,0
62,1672282800,133.987,134.073,133.485,133.853,9113,2,0
63,1672293600,133.853,133.874,133.468,133.716,5532,0,0
64,1672304400,133.725,133.9,133.534,133.614,11544,0,0
65,1672315200,133.612,133.826,133.612,133.636,6216,0,0
66,1672326000,133.643,133.658,132.903,133.224,23053,0,0
67,1672336800,133.224,133.368,132.934,133.013,11010,0,0
68,1672347600,133.013,133.054,132.879,133.019,7020,1,0
69,1672358400,132.995,133.095,132.417,132.44,13085,1,0
70,1672369200,132.44,132.687,132.381,132.661,7610,0,0
71,1672380000,132.663,132.773,132.449,132.451,6698,0,0
72,1672390800,132.451,132.564,131.551,132.124,16133,0,0
73,1672401600,132.114,132.114,131.601,131.839,11962,0,0
74,1672412400,131.848,132.331,131.503,131.928,27262,0,0
75,1672423200,131.929,131.994,130.769,130.869,20897,0,0
76,1672434000,130.875,131.285,130.843,131.109,10060,16,0
77,1672639200,130.921,131.051,130.907,130.967,1228,6,0
78,1672650000,130.969,130.976,130.856,130.876,1642,0,0
79,1672660800,130.876,130.886,130.702,130.735,2463,0,0
80,1672671600,130.737,130.831,130.625,130.789,7226,0,0
81,1672682400,130.788,130.841,130.673,130.785,6620,0,0
82,1672693200,130.785,130.789,130.622,130.668,1078,2,0
83,1672704000,130.671,131.398,130.526,130.608,9027,2,0
84,1672714800,130.613,130.714,129.679,129.781,18158,2,0
85,1672725600,129.775,130.058,129.506,129.842,12214,0,0
86,1672736400,129.841,130.958,129.782,130.417,32663,0,0
87,1672747200,130.416,131.193,130.363,130.976,21115,0,0
88,1672758000,130.974,131.007,130.047,130.741,31970,0,0
89,1672768800,130.746,131.105,130.596,130.621,19687,0,0
90,1672779600,130.62,131.038,130.574,131.011,7586,1,0
91,1672790400,131.02,131.457,130.821,131.013,11386,2,0
92,1672801200,131.006,131.218,130.583,130.646,10493,2,0
93,1672812000,130.643,130.995,130.64,130.73,8799,0,0
94,1672822800,130.74,130.753,129.924,130.423,29055,0,0
95,1672833600,130.423,130.977,130.281,130.837,12724,0,0
96,1672844400,130.835,132.088,130.581,132.014,28471,0,0
97,1672855200,132.012,132.711,131.94,132.488,16342,0,0
98,1672866000,132.469,132.714,132.426,132.621,14229,2,0
99,1672876800,132.552,132.647,131.814,131.88,9097,2,0
100,1672887600,131.883,132.382,131.679,132.345,12818,2,0
101,1672898400,132.345,132.626,132.189,132.44,10089,0,0
102,1672909200,132.435,132.897,132.262,132.535,18625,0,0
103,1672920000,132.524,132.763,132.324,132.756,12076,0,0
104,1672930800,132.759,134.05,132.733,133.868,36272,0,0
105,1672941600,133.868,133.915,132.949,133.118,18106,0,0
106,1672952400,133.118,133.441,133.105,133.402,8697,2,0
107,1672963200,133.384,133.633,133.266,133.534,8883,2,0
108,1672974000,133.532,133.942,133.482,133.817,8209,2,0
109,1672984800,133.82,134.368,133.777,134.027,9797,0,0
110,1672995600,134.027,134.591,133.702,134.41,20351,0,0
111,1673006400,134.41,134.692,134.22,134.671,16435,0,0
112,1673017200,134.67,134.775,132.354,132.429,49705,0,0
113,1673028000,132.428,132.542,132.046,132.098,19030,0,0
114,1673038800,132.098,132.158,131.993,132.138,6285,1,0
115,1673222400,131.867,132.286,131.706,131.827,8631,2,0
116,1673233200,131.827,131.994,131.304,131.628,11785,2,0
117,1673244000,131.628,131.939,131.533,131.807,7975,0,0
118,1673254800,131.808,132.573,131.614,132.437,19463,0,0
119,1673265600,132.437,132.655,132.127,132.285,16006,0,0
120,1673276400,132.285,132.285,131.686,131.944,28421,0,0
121,1673287200,131.944,131.952,131.552,131.852,14783,0,0
122,1673298000,131.853,131.899,131.533,131.882,6920,1,0
123,1673308800,131.773,132.221,131.575,131.7,10873,2,0
124,1673319600,131.7,131.917,131.38,131.826,12978,1,0
125,1673330400,131.826,132.034,131.665,131.919,6725,0,0
126,1673341200,131.919,132.293,131.696,131.819,19275,0,0
127,1673352000,131.819,132.445,131.813,132.383,12874,0,0
128,1673362800,132.383,132.473,131.726,132.176,28916,0,0
129,1673373600,132.173,132.35,132.074,132.263,11446,0,0
130,1673384400,132.263,132.288,132.154,132.236,4779,1,0
131,1673395200,132.225,132.359,131.947,132.259,8503,2,0
132,1673406000,132.26,132.583,132.229,132.454,8405,0,0
133,1673416800,132.454,132.499,132.134,132.314,5068,0,0
134,1673427600,132.314,132.747,132.159,132.482,14902,0,0
135,1673438400,132.482,132.873,132.312,132.771,12007,0,0
136,1673449200,132.771,132.809,132.381,132.595,16539,0,0
137,1673460000,132.595,132.702,132.28,132.323,10994,1,0
138,1673470800,132.318,132.553,132.29,132.48,10450,3,0
139,1673481600,132.39,132.485,131.54,131.908,14346,2,0
140,1673492400,131.908,132.014,131.465,131.7,10406,2,0
141,1673503200,131.703,131.808,131.361,131.725,7640,0,0
142,1673514000,131.734,131.901,130.852,130.958,17454,0,0
143,1673524800,130.958,131.162,130.627,130.685,13607,0,0
144,1673535600,130.686,131.215,129.5,129.833,48613,0,0
145,1673546400,129.834,129.945,128.861,129.162,24316,0,0
146,1673557200,129.163,129.445,129.069,129.257,13603,3,0
147,1673568000,129.233,129.406,128.636,129.22,12873,3,0
148,1673578800,129.217,129.347,128.817,129.121,14218,3,0
149,1673589600,129.121,129.302,128.4,128.553,10613,0,0
150,1673600400,128.553,128.794,128.106,128.526,22668,0,0
151,1673611200,128.522,128.833,128.271,128.535,13401,0,0
152,1673622000,128.535,128.633,127.458,127.509,27611,0,0
153,1673632800,127.511,127.979,127.472,127.852,12718,0,0
154,1673643600,127.852,127.945,127.749,127.856,5760,2,0
155,1673827200,127.752,128.196,127.711,127.856,9131,3,0
156,1673838000,127.858,127.944,127.218,127.399,13779,3,0
157,1673848800,127.399,128.121,127.322,127.975,9081,1,0
158,1673859600,127.975,128.863,127.887,128.372,23643,1,0
159,1673870400,128.372,128.542,128.116,128.427,9602,1,0
160,1673881200,128.427,128.561,128.296,128.533,9514,0,0
161,1673892000,128.537,128.759,128.432,128.587,3917,0,0
162,1673902800,128.585,128.602,128.425,128.556,2961,2,0
163,1673913600,128.46,128.56,128.204,128.408,7928,3,0
164,1673924400,128.407,129.155,128.3,128.772,12666,3,0
165,1673935200,128.764,128.961,128.528,128.922,8043,1,0
166,1673946000,128.922,129.02,128.384,128.784,15657,0,0
167,1673956800,128.784,129.119,128.319,128.555,14418,0,0
168,1673967600,128.554,128.781,128.125,128.141,25151,0,0
169,1673978400,128.141,128.412,127.989,128.394,9093,1,0
170,1673989200,128.394,128.443,128.098,128.139,5279,2,0
171,1674000000,128.111,128.897,128.08,128.844,8398,3,0
172,1674010800,128.858,131.244,128.369,131.137,25420,3,0
173,1674021600,131.139,131.574,130.53,130.728,20643,1,0
174,1674032400,130.721,130.919,129.204,129.391,30822,1,0
175,1674043200,129.39,129.58,128.836,129.076,19600,1,0
176,1674054000,129.076,129.141,127.563,128.364,33883,0,0
