,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,return,volatility,expected_return,risk_factor,strategy
0,0,1671408000,1.21376,1.21802,1.21376,1.21791,6932,8,0,0.0,0.0,0.0,0.0,-1
1,1,1671418800,1.21787,1.2202,1.21761,1.21815,8417,6,0,0.0001970394824237783,0.0,0.0,0.0,-1
2,2,1671429600,1.21817,1.2188,1.21672,1.21856,7318,4,0,0.0003365193263616218,0.0,0.0,0.0,3
3,3,1671440400,1.21855,1.22421,1.21723,1.22121,20363,1,0,0.0021723367711895167,0.0,0.0,0.0,3
4,4,1671451200,1.22119,1.2224,1.21645,1.21784,23857,1,0,-0.002763372743082105,0.0,0.0,0.0,-1
5,5,1671462000,1.21782,1.21886,1.21203,1.21304,24597,1,0,-0.003949192258314897,0.0,0.0,0.0,-1
6,6,1671472800,1.21304,1.21931,1.21296,1.21589,14148,3,0,0.002346713415312574,0.0,0.0,0.0,-1
7,7,1671483600,1.21593,1.21594,1.21387,1.21458,7370,4,0,-0.0010779809064553802,0.0,0.0,0.0,-1
8,8,1671494400,1.2148,1.21553,1.21381,1.21436,5448,8,0,-0.00018114897906207895,0.0,0.0,0.0,-1
9,9,1671505200,1.21436,1.22232,1.21331,1.21392,19563,6,0,-0.0003623964327140438,0.0,0.0,0.0,-1
10,10,1671516000,1.21392,1.21469,1.20852,1.21405,17746,1,0,0.00010708534300191415,0.0,0.0,0.0,-1
11,11,1671526800,1.21401,1.21975,1.21339,1.21499,29886,1,0,0.0007739683553368582,0.0,0.0,0.0,3
12,12,1671537600,1.21496,1.21822,1.21304,1.21309,18602,1,0,-0.0015650228887065722,0.0,0.0,0.0,-1
13,13,1671548400,1.21309,1.2168,1.2098,1.21395,28021,1,0,0.0007086822104236192,0.0,0.0,0.0,-1
14,14,1671559200,1.21391,1.2158,1.21238,1.21456,16500,1,0,0.0005023656586373842,0.0,0.0,0.0,3
15,15,1671570000,1.21458,1.21872,1.21382,1.21825,8419,3,0,0.0030335314551575426,0.0,0.0,0.0,3
16,16,1671580800,1.21794,1.21923,1.21601,1.21826,6577,8,0,8.208462103565572e-06,0.0,0.0,0.0,3
17,17,1671591600,1.21826,1.2189,1.21606,1.21689,9405,8,0,-0.0011251874788330927,0.0,0.0,0.0,-1
18,18,1671602400,1.21689,1.2172,1.21549,1.21574,5363,1,0,-0.0009454788321021706,0.0,0.0,0.0,-1
19,19,1671613200,1.21576,1.21828,1.21276,1.21382,16270,1,0,-0.0015805334296694808,0.0,0.0,0.0,-1
20,20,1671624000,1.2138,1.21458,1.20857,1.21296,15148,1,0,-0.0007087581371206064,0.0,0.0,0.0,-1
21,21,1671634800,1.21297,1.2164,1.20882,1.21087,23254,1,0,-0.0017245438153507002,0.02620198111458026,-0.06956598505755303,-0.37664932212061614,1
22,22,1671645600,1.21089,1.21125,1.20551,1.20776,14864,1,0,-0.002571705233162543,0.027304326132142304,-0.10279092164458889,-0.2656297433206219,1
23,23,1671656400,1.20778,1.2097,1.20758,1.20828,7462,4,0,0.00043045645604326545,0.02733851345589196,-0.10166367608840918,-0.26891132120894123,1
24,24,1671667200,1.20786,1.21031,1.207,1.21024,5397,5,0,0.001620826314514151,0.026744086279660774,-0.10828180156851358,-0.2469859744874939,3
25,25,1671678000,1.21024,1.21345,1.20941,1.21334,7336,6,0,0.002558200423038569,0.027241887626524297,-0.044422923575065464,-0.6132394141167048,4
26,26,1671688800,1.21334,1.21339,1.21158,1.21193,7035,5,0,-0.0011627572673233496,0.02388229928132192,-0.010985703683166904,-2.1739435151446984,1
27,27,1671699600,1.21186,1.21473,1.20873,1.20994,14268,1,0,-0.0016433586012906804,0.02282689950712459,-0.058866567882405955,-0.3877735755331354,1
28,28,1671710400,1.20994,1.21088,1.20377,1.20572,15642,1,0,-0.0034938727245107516,0.025347824419563875,-0.08785726969907041,-0.2885114061293447,1
29,29,1671721200,1.20576,1.20625,1.19924,1.20273,26969,1,0,-0.002482925978195557,0.026388919143006662,-0.11547859368867217,-0.22851784300517747,1
30,30,1671732000,1.20272,1.20439,1.20007,1.20113,10267,2,0,-0.001331192528913144,0.026557442400471476,-0.12710414684306134,-0.20894237568238125,1
31,31,1671742800,1.20114,1.20473,1.20085,1.20378,9886,4,0,0.0022038255673215833,0.028113380783747626,-0.10194326415122534,-0.2757747754873092,4
32,32,1671753600,1.20365,1.20458,1.20018,1.20201,6311,8,0,-0.0014714503920642142,0.028003211577804842,-0.12888828912003822,-0.2172673077514782,1
33,33,1671764400,1.20202,1.20524,1.20185,1.20497,9319,6,0,0.002459514821177728,0.029524434668016946,-0.0805938366014266,-0.3663361357770915,4
34,34,1671775200,1.20497,1.20578,1.20289,1.20391,6407,1,0,-0.0008800771050591355,0.02933946785250897,-0.09965894838721964,-0.2943987301422447,1
35,35,1671786000,1.20384,1.20747,1.20342,1.20661,13098,1,0,0.002240181478803447,0.030600055359494126,-0.07880515854522689,-0.38830015603524887,4
36,36,1671796800,1.20661,1.20902,1.20493,1.20686,10509,1,0,0.000207170589146856,0.028176033426354184,-0.11272148893735515,-0.24996150859942054,3
37,37,1671807600,1.20686,1.20862,1.20229,1.20603,28032,1,0,-0.000687971712541443,0.028137402295808175,-0.12107565103309526,-0.23239521783051983,1
38,38,1671818400,1.20603,1.20698,1.20278,1.20326,11533,1,0,-0.0022994336260947273,0.028763480672803477,-0.13516660480023485,-0.21280020102090708,1
39,39,1671829200,1.20313,1.20514,1.20273,1.20478,10300,20,0,0.0012624376687056205,0.029378125465929366,-0.10867160679054136,-0.27033855791378986,1
40,40,1672045200,1.2054,1.206,1.20477,1.20568,1634,61,0,0.0007467454691821593,0.02933710404235934,-0.08074426000432168,-0.3633336170371631,3
41,41,1672056000,1.20567,1.20784,1.20496,1.20724,825,49,0,0.0012930393194582016,0.02981881690739117,-0.05672269052537599,-0.5256946846350871,3
42,42,1672066800,1.20724,1.20736,1.20597,1.20618,1198,27,0,-0.0008784215496351459,0.02942415914802228,-0.04656922333678933,-0.6318370168045603,1
43,43,1672077600,1.20617,1.20617,1.20468,1.20498,183,66,0,-0.0009953716046023537,0.028298101141558195,-0.02765321979406706,-1.023320298767867,1
44,44,1672088400,1.20497,1.20685,1.20485,1.20615,703,14,0,0.0009704993856261899,0.02848918732296464,-0.02117270463907196,-1.3455620247207765,1
45,45,1672099200,1.20615,1.20918,1.20452,1.20781,4273,8,0,0.001375333693734263,0.028316251815799002,-0.024118616088430616,-1.1740413177927707,3
46,46,1672110000,1.20788,1.21025,1.2077,1.2082,7935,8,0,0.00032284634863868363,0.026688474217529463,-0.05094286498122924,-0.5238903274749719,3
47,47,1672120800,1.2082,1.2112,1.20799,1.211,6597,1,0,0.0023148158484515395,0.027806735463344008,-0.009211987591930572,-3.0185380935273822,4
48,48,1672131600,1.21097,1.21123,1.20518,1.20619,11242,1,0,-0.003979833069660231,0.030550468138532603,-0.037249681212365174,-0.8201538145886537,1
49,49,1672142400,1.20617,1.20736,1.20251,1.20283,10212,3,0,-0.0027895178776386324,0.02966298791261125,-0.028797423049899747,-1.0300570249362822,1
